Befragung,ID,Ort,Bioladen,Datum,Uhrzeit,Essen,Kochen,Verkehrsmittel,Weg,Frequenz,Alter
DS,1,NA,TRUE,NA,NA,Sushi,4,Fahrrad,5,mehrfach die Woche,22
DS,2,NA,TRUE,NA,NA,Lasagne,1,ÖPNV,2,seltener,23
DS,3,NA,TRUE,NA,NA,Sushi,1,Zu Fuß,0.9,einmal im Monat,26
DS,4,NA,TRUE,NA,NA,Curry,3,Zu Fuß,0.8,einmal im Monat,24
DS,5,NA,TRUE,NA,NA,Pasta,4,Zu Fuß,2,alle zwei Wochen,25
DS,6,NA,TRUE,NA,NA,Pasta,2,Auto,17,alle zwei Wochen,27
DS,7,NA,TRUE,NA,NA,Matjes,4,Auto,1.8,mehrfach die Woche,47
DS,8,NA,TRUE,NA,NA,Dorade,5,Zu Fuß,0.9,mehrfach die Woche,49
DS,9,NA,TRUE,NA,NA,Pho-Suppe,3,Fahrrad,0.8,einmal die Woche,25
DS,10,NA,TRUE,NA,NA,Pizza,6,Fahrrad,7,mehrfach die Woche,46
DS,11,NA,TRUE,NA,NA,Spaghetti,6,ÖPNV,3,mehrfach die Woche,25
DS,12,NA,TRUE,NA,NA,Kartoffelklöße,5,ÖPNV,3,mehrfach die Woche,22
DS,13,NA,TRUE,NA,NA,Pesto mit Nudeln,5,ÖPNV,3,einmal die Woche,23
DS,14,NA,TRUE,NA,NA,Nudeln mit Lachs-Sahne Soße,3,Fahrrad,2,einmal im Monat,35
DS,15,NA,TRUE,NA,NA,Pasta,2,ÖPNV,60,seltener,23
DS,16,NA,TRUE,NA,NA,Pasta,3,ÖPNV,60,seltener,52
DS,17,NA,TRUE,NA,NA,Pasta,6,Zu Fuß,2,mehrfach die Woche,36
DS,18,NA,TRUE,NA,NA,Pasta,4,Zu Fuß,0.2,mehrfach die Woche,40
DS,19,NA,TRUE,NA,NA,Spinat-quiche,5,ÖPNV,3,mehrfach die Woche,48
DS,20,NA,TRUE,NA,NA,Gemüse jeglicher Art,4,Fahrrad,7,einmal die Woche,55
IB,1,Markthalle Kassel,FALSE,2022-11-12,13:27,Fischsuppe,7,Auto,8,einmal im Monat,20
IB,2,Markthalle Kassel,FALSE,2022-11-12,13:30,Schnitzel,5,Auto,30,einmal die Woche,58
IB,3,Markthalle Kassel,FALSE,2022-11-12,13:33,Semmelknödel,1,ÖPNV,15,einmal im Monat,21
IB,4,Markthalle Kassel,FALSE,2022-11-12,13:36,Weihnachtsgans,0,Auto,5,einmal im Monat,60
IB,5,Markthalle Kassel,FALSE,2022-11-12,13:39,Gulasch mit Klösen,5,Auto,5,einmal im Monat,24
IB,6,Markthalle Kassel,FALSE,2022-11-12,13:39,Lasagne,6,Auto,5,alle zwei Wochen,27
IB,7,Markthalle Kassel,FALSE,2022-11-12,13:42,Pizza,6,ÖPNV,10,alle zwei Wochen,23
IB,8,Markthalle Kassel,FALSE,2022-11-12,13:44,Falaffel im Brot,4,Fahrrad,4,alle zwei Wochen,35
IB,9,Markthalle Kassel,FALSE,2022-11-12,13:44,Pasta,5,Auto,3,mehrfach die Woche,38
IB,10,Markthalle Kassel,FALSE,2022-11-12,13:53,Lasagne,7,Zu Fuß,2,alle zwei Wochen,20
IB,11,Markthalle Kassel,FALSE,2022-11-12,13:53,Lasagne,7,Zu Fuß,2,alle zwei Wochen,14
IB,12,Markthalle Kassel,FALSE,2022-11-12,13:56,Gemüse,7,Fahrrad,3,mehrfach die Woche,62
IB,13,Markthalle Kassel,FALSE,2022-11-12,14:00,Bratkartoffel,5,Auto,5,einmal die Woche,43
IB,14,Markthalle Kassel,FALSE,2022-11-12,14:03,Nudelauflauf,4,Zu Fuß,5,seltener,24
IB,15,Markthalle Kassel,FALSE,2022-11-12,14:05,Sushi,5,Zu Fuß,10,einmal im Monat,31
IB,16,Markthalle Kassel,FALSE,2022-11-12,14:05,Sushi,5,Fahrrad,10,einmal im Monat,32
IB,17,Markthalle Kassel,FALSE,2022-11-12,14:10,Bratapfel,6,Fahrrad,10,alle zwei Wochen,28
IB,18,Markthalle Kassel,FALSE,2022-11-12,14:10,Döner,6,Fahrrad,10,einmal die Woche,30
IB,19,Markthalle Kassel,FALSE,2022-11-12,14:13,Risotto,7,ÖPNV,15,einmal im Monat,42
IB,20,Markthalle Kassel,FALSE,2022-11-12,14:16,Kasseler,0,ÖPNV,20,einmal im Monat,49
LM,1,NA,TRUE,NA,NA,Linsensuppe,1,Zu Fuß,2,alle zwei Wochen,33
LM,2,NA,TRUE,NA,NA,Curry,5,ÖPNV,35,mehrfach die Woche,22
LM,3,NA,TRUE,NA,NA,Gebratenes Hähnchen,2,Fahrrad,4,einmal die Woche,59
LM,4,NA,TRUE,NA,NA,Gemüse,3,Zu Fuß,2,mehrfach die Woche,69
LM,5,NA,TRUE,NA,NA,Salat,5,Zu Fuß,0.8,mehrfach die Woche,58
LM,6,NA,TRUE,NA,NA,Sushi,1,Zu Fuß,0.4,mehrfach die Woche,31
LM,7,NA,TRUE,NA,NA,Lasagne,7,ÖPNV,3,mehrfach die Woche,34
LM,8,NA,TRUE,NA,NA,Pasta,4,ÖPNV,2,einmal die Woche,68
LM,9,NA,TRUE,NA,NA,Wrap,2,ÖPNV,5,seltener,19
LM,10,NA,TRUE,NA,NA,Gemüse,7,Auto,40,alle zwei Wochen,NA
LM,11,NA,TRUE,NA,NA,Pasta,7,Auto,10,einmal die Woche,68
LM,12,NA,TRUE,NA,NA,Pasta,7,Auto,10,einmal die Woche,65
LM,13,NA,TRUE,NA,NA,Vegetarisch,6,Auto,10,mehrfach die Woche,59
LM,14,NA,TRUE,NA,NA,Pasta,6,ÖPNV,8,mehrfach die Woche,57
LM,15,NA,TRUE,NA,NA,Pasta,4,ÖPNV,140,einmal die Woche,56
